country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,genres
Australia,AU,2022-08-21,Films,1,Day Shift,,2,"['Action', 'Fantasy', 'Horror', 'Comedy']"
Australia,AU,2022-08-21,TV,1,The Sandman,The Sandman: Season 1,3,"['Sci-Fi & Fantasy', 'Drama', 'Action & Adventure']"
Australia,AU,2022-08-14,Films,1,Let Him Go,,1,"['Thriller', 'Crime', 'Western']"
Australia,AU,2022-08-14,TV,1,The Sandman,The Sandman: Season 1,2,"['Sci-Fi & Fantasy', 'Drama', 'Action & Adventure']"
Australia,AU,2022-08-07,Films,1,Purple Hearts,,2,"['Romance', 'Drama']"
Australia,AU,2022-08-07,TV,1,Keep Breathing,Keep Breathing: Limited Series,2,['Action & Adventure']
Australia,AU,2022-07-31,Films,1,The Gray Man,,2,"['Action', 'Thriller']"
Australia,AU,2022-07-31,TV,1,Virgin River,Virgin River: Season 4,2,['Drama']
Australia,AU,2022-07-24,Films,1,The Gray Man,,1,"['Action', 'Thriller']"
Australia,AU,2022-07-24,TV,1,Virgin River,Virgin River: Season 4,1,['Drama']
Australia,AU,2022-07-17,Films,1,The Sea Beast,,2,"['Animation', 'Adventure', 'Family', 'Fantasy']"
Australia,AU,2022-07-17,TV,1,Stranger Things,Stranger Things 4,8,"['Drama', 'Sci-Fi & Fantasy', 'Mystery', 'Action & Adventure']"
Australia,AU,2022-07-10,Films,1,Girl in the Picture,,1,['Documentary']
Australia,AU,2022-07-10,TV,1,Stranger Things,Stranger Things 4,7,"['Drama', 'Sci-Fi & Fantasy', 'Mystery', 'Action & Adventure']"
Australia,AU,2022-07-03,Films,1,The Man from Toronto,,2,"['Action', 'Adventure', 'Comedy']"
Australia,AU,2022-07-03,TV,1,Stranger Things,Stranger Things 4,6,"['Drama', 'Sci-Fi & Fantasy', 'Mystery', 'Action & Adventure']"
Australia,AU,2022-06-26,Films,1,The Man from Toronto,,1,"['Action', 'Adventure', 'Comedy']"
Australia,AU,2022-06-26,TV,1,The Umbrella Academy,The Umbrella Academy: Season 3,1,"['Action & Adventure', 'Sci-Fi & Fantasy', 'Drama']"
Australia,AU,2022-06-19,Films,1,Hustle,,2,"['Drama', 'Comedy']"
Australia,AU,2022-06-19,TV,1,Stranger Things,Stranger Things 4,4,"['Drama', 'Sci-Fi & Fantasy', 'Mystery', 'Action & Adventure']"
Australia,AU,2022-06-12,Films,1,Hustle,,1,"['Drama', 'Comedy']"
Australia,AU,2022-06-12,TV,1,Stranger Things,Stranger Things 4,3,"['Drama', 'Sci-Fi & Fantasy', 'Mystery', 'Action & Adventure']"
Australia,AU,2022-06-05,Films,1,Interceptor,,1,"['Action', 'Thriller', 'Adventure']"
Australia,AU,2022-06-05,TV,1,Stranger Things,Stranger Things 4,2,"['Drama', 'Sci-Fi & Fantasy', 'Mystery', 'Action & Adventure']"
Australia,AU,2022-05-29,Films,1,A Perfect Pairing,,2,"['Comedy', 'Romance']"
Australia,AU,2022-05-29,TV,1,Stranger Things,Stranger Things 4,1,"['Drama', 'Sci-Fi & Fantasy', 'Mystery', 'Action & Adventure']"
Australia,AU,2022-05-22,Films,1,Senior Year,,2,['Comedy']
Australia,AU,2022-05-22,TV,1,The Lincoln Lawyer,The Lincoln Lawyer: Season 1,2,"['Drama', 'Crime']"
Australia,AU,2022-05-15,Films,1,Senior Year,,1,['Comedy']
Australia,AU,2022-05-15,TV,1,Ozark,Ozark: Season 4,9,"['Crime', 'Drama']"
Australia,AU,2022-05-08,Films,1,The Suicide Squad,,1,"['Action', 'Comedy', 'Adventure']"
Australia,AU,2022-05-08,TV,1,Ozark,Ozark: Season 4,8,"['Crime', 'Drama']"
Australia,AU,2022-05-01,Films,1,365 Days: This Day,,1,"['Romance', 'Drama']"
Australia,AU,2022-05-01,TV,1,Ozark,Ozark: Season 4,7,"['Crime', 'Drama']"
Australia,AU,2022-04-24,Films,1,Cleveland Abduction,,2,"['Drama', 'Crime', 'TV Movie']"
Australia,AU,2022-04-24,TV,1,Anatomy of a Scandal,Anatomy of a Scandal: Limited Series,2,['Drama']
Australia,AU,2022-04-17,Films,1,Space Jam: A New Legacy,,1,"['Family', 'Animation', 'Comedy', 'Science Fiction']"
Australia,AU,2022-04-17,TV,1,Bridgerton,Bridgerton: Season 2,4,['Drama']
Australia,AU,2022-04-10,Films,1,Jumanji: The Next Level,,2,"['Adventure', 'Comedy', 'Fantasy']"
Australia,AU,2022-04-10,TV,1,Bridgerton,Bridgerton: Season 2,3,['Drama']
Australia,AU,2022-04-03,Films,1,Bloodshot,,1,"['Action', 'Science Fiction', 'Adventure']"
Australia,AU,2022-04-03,TV,1,Bridgerton,Bridgerton: Season 2,2,['Drama']
Australia,AU,2022-03-27,Films,1,The Adam Project,,3,"['Adventure', 'Science Fiction']"
Australia,AU,2022-03-27,TV,1,Bridgerton,Bridgerton: Season 2,1,['Drama']
Australia,AU,2022-03-20,Films,1,The Adam Project,,2,"['Adventure', 'Science Fiction']"
Australia,AU,2022-03-20,TV,1,PIECES OF HER,PIECES OF HER: Season 1,3,"['Crime', 'Mystery', 'Drama']"
Australia,AU,2022-03-13,Films,1,The Adam Project,,1,"['Adventure', 'Science Fiction']"
Australia,AU,2022-03-13,TV,1,PIECES OF HER,PIECES OF HER: Season 1,2,"['Crime', 'Mystery', 'Drama']"
Australia,AU,2022-03-06,Films,1,The Weekend Away,,1,"['Thriller', 'Mystery']"
Australia,AU,2022-03-06,TV,1,Vikings: Valhalla,Vikings: Valhalla: Season 1,2,"['Action & Adventure', 'Drama', 'War & Politics']"
Australia,AU,2022-02-27,Films,1,This Is 40,,1,['Comedy']
Australia,AU,2022-02-27,TV,1,Inventing Anna,Inventing Anna: Limited Series,3,['Drama']
Australia,AU,2022-02-20,Films,1,Seventh Son,,1,"['Adventure', 'Fantasy']"
Australia,AU,2022-02-20,TV,1,Inventing Anna,Inventing Anna: Limited Series,2,['Drama']
Australia,AU,2022-02-13,Films,1,The Tinder Swindler,,2,"['Documentary', 'Crime']"
Australia,AU,2022-02-13,TV,1,Sweet Magnolias,Sweet Magnolias: Season 2,2,['Drama']
Australia,AU,2022-02-06,Films,1,The Tinder Swindler,,1,"['Documentary', 'Crime']"
Australia,AU,2022-02-06,TV,1,All of Us Are Dead,All of Us Are Dead: Season 1,2,"['Action & Adventure', 'Drama', 'Sci-Fi & Fantasy']"
Australia,AU,2022-01-30,Films,1,Mortal Kombat,,2,"['Action', 'Fantasy', 'Adventure']"
Australia,AU,2022-01-30,TV,1,Ozark,Ozark: Season 4,2,"['Crime', 'Drama']"
Australia,AU,2022-01-23,Films,1,Copshop,,2,"['Thriller', 'Crime', 'Action']"
Australia,AU,2022-01-23,TV,1,Manifest,Manifest: Season 1,3,"['Drama', 'Mystery', 'Sci-Fi & Fantasy']"
Australia,AU,2022-01-16,Films,1,Spider-Man: Far from Home,,2,"['Action', 'Adventure', 'Science Fiction']"
Australia,AU,2022-01-16,TV,1,Manifest,Manifest: Season 1,2,"['Drama', 'Mystery', 'Sci-Fi & Fantasy']"
Australia,AU,2022-01-09,Films,1,Spider-Man: Far from Home,,1,"['Action', 'Adventure', 'Science Fiction']"
Australia,AU,2022-01-09,TV,1,Manifest,Manifest: Season 1,1,"['Drama', 'Mystery', 'Sci-Fi & Fantasy']"
Australia,AU,2022-01-02,Films,1,Don't Look Up,,2,"['Comedy', 'Science Fiction', 'Drama']"
Australia,AU,2022-01-02,TV,1,Emily in Paris,Emily in Paris: Season 2,2,"['Drama', 'Comedy']"
Australia,AU,2021-12-26,Films,1,Don't Look Up,,1,"['Comedy', 'Science Fiction', 'Drama']"
Australia,AU,2021-12-26,TV,1,The Witcher,The Witcher: Season 2,2,"['Sci-Fi & Fantasy', 'Drama', 'Action & Adventure']"
Australia,AU,2021-12-19,Films,1,The Unforgivable,,2,"['Drama', 'Crime']"
Australia,AU,2021-12-19,TV,1,The Witcher,The Witcher: Season 2,1,"['Sci-Fi & Fantasy', 'Drama', 'Action & Adventure']"
Australia,AU,2021-12-12,Films,1,The Unforgivable,,1,"['Drama', 'Crime']"
Australia,AU,2021-12-12,TV,1,Money Heist,Money Heist: Part 5,4,"['Crime', 'Drama']"
Australia,AU,2021-12-05,Films,1,The Power of the Dog,,1,"['Drama', 'Western']"
Australia,AU,2021-12-05,TV,1,Lost in Space,Lost in Space: Season 3,1,"['Sci-Fi & Fantasy', 'Comedy']"
Australia,AU,2021-11-28,Films,1,The Little Things,,2,"['Drama', 'Crime', 'Thriller']"
Australia,AU,2021-11-28,TV,1,Selling Sunset,Selling Sunset: Season 4,1,['Reality']
Australia,AU,2021-11-21,Films,1,Red Notice,,2,"['Action', 'Comedy', 'Crime']"
Australia,AU,2021-11-21,TV,1,Tiger King,Tiger King 2,1,"['Documentary', 'Crime']"
Australia,AU,2021-11-14,Films,1,Red Notice,,1,"['Action', 'Comedy', 'Crime']"
Australia,AU,2021-11-14,TV,1,Maid,Maid: Limited Series,7,['Drama']
Australia,AU,2021-11-07,Films,1,Cold Pursuit,,1,"['Action', 'Crime', 'Thriller', 'Comedy']"
Australia,AU,2021-11-07,TV,1,You,You: Season 3,4,['Drama']
Australia,AU,2021-10-31,Films,1,Midway,,1,"['Action', 'Drama', 'War', 'History']"
Australia,AU,2021-10-31,TV,1,You,You: Season 3,3,['Drama']
Australia,AU,2021-10-24,Films,1,Sonic the Hedgehog,,2,"['Action', 'Science Fiction', 'Comedy', 'Family']"
Australia,AU,2021-10-24,TV,1,You,You: Season 3,2,['Drama']
Australia,AU,2021-10-17,Films,1,Sonic the Hedgehog,,1,"['Action', 'Science Fiction', 'Comedy', 'Family']"
Australia,AU,2021-10-17,TV,1,Squid Game,Squid Game: Season 1,5,"['Action & Adventure', 'Mystery', 'Drama']"
Australia,AU,2021-10-10,Films,1,The Guilty,,2,"['Drama', 'Thriller']"
Australia,AU,2021-10-10,TV,1,Squid Game,Squid Game: Season 1,4,"['Action & Adventure', 'Mystery', 'Drama']"
Australia,AU,2021-10-03,Films,1,Wonder Woman 1984,,1,"['Action', 'Adventure', 'Fantasy']"
Australia,AU,2021-10-03,TV,1,Squid Game,Squid Game: Season 1,3,"['Action & Adventure', 'Mystery', 'Drama']"
Australia,AU,2021-09-26,Films,1,Superintelligence,,2,"['Comedy', 'Science Fiction', 'Romance']"
Australia,AU,2021-09-26,TV,1,Squid Game,Squid Game: Season 1,2,"['Action & Adventure', 'Mystery', 'Drama']"
Australia,AU,2021-09-19,Films,1,Kate,,2,['Action']
Australia,AU,2021-09-19,TV,1,Sex Education,Sex Education: Season 3,1,"['Comedy', 'Drama']"
Australia,AU,2021-09-12,Films,1,Kate,,1,['Action']
Australia,AU,2021-09-12,TV,1,Clickbait,Clickbait: Limited Series,3,"['Drama', 'Crime', 'Mystery']"
Australia,AU,2021-09-05,Films,1,He's All That,,2,"['Comedy', 'Romance']"
Australia,AU,2021-09-05,TV,1,Clickbait,Clickbait: Limited Series,2,"['Drama', 'Crime', 'Mystery']"
Australia,AU,2021-08-29,Films,1,Sweet Girl,,2,"['Action', 'Thriller', 'Drama']"
Australia,AU,2021-08-29,TV,1,Clickbait,Clickbait: Limited Series,1,"['Drama', 'Crime', 'Mystery']"
Australia,AU,2021-08-22,Films,1,Sweet Girl,,1,"['Action', 'Thriller', 'Drama']"
Australia,AU,2021-08-22,TV,1,Outer Banks,Outer Banks: Season 2,4,"['Action & Adventure', 'Drama', 'Mystery']"
Australia,AU,2021-08-15,Films,1,The Kissing Booth 3,,1,"['Romance', 'Comedy']"
Australia,AU,2021-08-15,TV,1,Outer Banks,Outer Banks: Season 2,3,"['Action & Adventure', 'Drama', 'Mystery']"
Australia,AU,2021-08-08,Films,1,Joker,,1,"['Crime', 'Thriller', 'Drama']"
Australia,AU,2021-08-08,TV,1,Outer Banks,Outer Banks: Season 2,2,"['Action & Adventure', 'Drama', 'Mystery']"
Australia,AU,2021-08-01,Films,1,Blood Red Sky,,1,"['Horror', 'Thriller', 'Action']"
Australia,AU,2021-08-01,TV,1,Outer Banks,Outer Banks: Season 2,1,"['Action & Adventure', 'Drama', 'Mystery']"
Australia,AU,2021-07-25,Films,1,Harry Potter and the Sorcerer's Stone,,2,"['Adventure', 'Fantasy']"
Australia,AU,2021-07-25,TV,1,Virgin River,Virgin River: Season 3,3,['Drama']
Australia,AU,2021-07-18,Films,1,White Boy Rick,,1,"['Crime', 'Drama']"
Australia,AU,2021-07-18,TV,1,Virgin River,Virgin River: Season 3,2,['Drama']
Australia,AU,2021-07-11,Films,1,Gemini Man,,2,"['Science Fiction', 'Action', 'Thriller']"
Australia,AU,2021-07-11,TV,1,Sex/Life,Sex/Life: Season 1,2,"['Comedy', 'Drama']"
Australia,AU,2021-07-04,Films,1,Gemini Man,,1,"['Science Fiction', 'Action', 'Thriller']"
Australia,AU,2021-07-04,TV,1,Sex/Life,Sex/Life: Season 1,1,"['Comedy', 'Drama']"
